"Sensor.ID","Latitude","Longitude","Buffer","TreeCanopy_pct","GrassShrubs_pct","BareSoil_pct","Water_pct","Buildings_pct","Roads_pct","OtherImp_pct","Railroads_pct","Building_mean","Building_median","BuildingAge_mean","BuildingAge_median","BuildingLow_pct","BuildingMedium_pct","BuildingTall_pct"
"Bk-BR_01",40.66620508,-73.91691035,250,21.1567,9.4188,0,0,21.0691,17.6412,30.7142,0,23.982226750122,23.52,1972,1987,13.4146341463415,82.9268292682927,3.65853658536585
"Bk-BR_03",40.66011794,-73.91488922,250,12.962,2.8398,0,0,36.475,16.1951,31.5281,0,25.41466181125,25.792214465,1940,1930,7.95454545454545,78.4090909090909,13.6363636363636
"Bk-BR_04",40.66339,-73.9145,250,20.1013,12.7413,8.7764,0,20.2612,11.4938,26.626,0,23.577718041791,25.4,1932,1930,10.4477611940298,83.5820895522388,5.97014925373134
"Bk-BR_05",40.65900255,-73.91167115,250,18.7423,2.7903,0,0,34.157,13.5258,30.7846,0,23.5101883323762,25.11208053,1933,1930,13.8613861386139,72.2772277227723,13.8613861386139
"Bk-BR_06",40.66087,-73.91,250,17.5788,4.9988,0,0,27.403,12.7961,37.2233,0,33.8427784848148,33.535662975,1971,1978,1.85185185185185,90.7407407407407,7.40740740740741
"Bk-BR_07",40.66551,-73.9102,250,14.2353,8.3612,0,0,30.1848,19.2733,27.9454,0,27.9823303338235,23.12,1971,1986,2.94117647058824,85.2941176470588,11.7647058823529
"Bk-BR_08",40.66290721,-73.91757015,250,20.1063,9.6531,0,0,27.5323,11.8587,30.8496,0,24.6949494949495,25.16,1961,1985,5.05050505050505,85.8585858585859,9.09090909090909
"Bk-BR_09",40.6652,-73.913,250,16.5701,9.6219,0,0,26.0951,18.2546,29.4583,0,28.03272443875,23.87,1977,1986,5.35714285714286,78.5714285714286,16.0714285714286
"Bk-BR_10",40.66523,-73.9154,250,18.6441,4.9665,0,0,31.7886,12.1508,32.45,0,23.9235178542857,25.8,1935,1930,19.7802197802198,76.9230769230769,3.2967032967033
"Bk-BR_11",40.661283,-73.911419,250,16.6632,3.296,0,0,31.0405,10.823,38.1773,0,24.7650516641573,25.55,1928,1901,15.7303370786517,75.2808988764045,8.98876404494382
"Bk-BR_12",40.66006,-73.9082,250,7.1067,3.375,0,0,35.0285,16.6929,37.7969,0,38.1452731663158,35.82645604,1977,2003,15.7894736842105,63.1578947368421,21.0526315789474
"Bk-BR_13",40.65942447,-73.90998019,250,18.4374,3.5702,0,0,35.244,12.4104,30.338,0,25.6487941321622,25.72298682,1933,1930,16.2162162162162,77.027027027027,6.75675675675676
"Bk-BR_15",40.66160842,-73.90971324,250,15.2041,4.4091,0,0,31.406,7.6839,41.0188,0.2781,36.0992642866667,33.495,1976,1978,2.38095238095238,83.3333333333333,14.2857142857143
"Bk-BR_16",40.665985,-73.911659,250,10.205,7.4558,0,0,32.9657,11.4149,37.9586,0,25.005236638,23.15,1984,1987,2.5,92.5,5
"Bk-BR_17",40.66433447,-73.91123517,250,32.9809,7.365,0.0754,0,14.6582,12.7242,32.1963,0,26.4627272727273,24.98,1982,1986,6.06060606060606,93.9393939393939,0
"Bk-BR_18",40.663009,-73.912041,250,11.6675,4.3258,0,0,19.2508,10.4654,54.2905,0,27.522303025,24.67,1967,1974,4.54545454545455,88.6363636363636,6.81818181818182
"Bk-BR_20",40.66367,-73.9159,250,20.1739,8.0077,0,0,27.8867,14.135,29.7967,0,23.5533782006604,23.995,1957,1930,8.49056603773585,89.622641509434,1.88679245283019
"Bk-BR_21",40.66189,-73.918412,250,11.0942,16.3538,0,0,26.7117,10.4137,29.4443,5.9823,29.1285964912281,24.92,1973,1985,5.26315789473684,87.719298245614,7.01754385964912
"Bk-BR_22",40.66237707,-73.91577569,250,14.5693,7.7562,0,0,31.3139,12.5335,33.636,0.1911,24.8268428162105,25.93,1949,1930,5.26315789473684,89.4736842105263,5.26315789473684
"Bk-BR_23",40.65881,-73.9159,250,12.2197,0.8708,0,0,40.8984,17.3953,28.6158,0,23.7462523469767,24.9627036,1925,1930,12.7906976744186,80.2325581395349,6.97674418604651
"Bk-SH_05",40.68027678,-73.93096009,250,40.4266,2.7587,0,0,30.0984,7.4158,19.3005,0,36.1465163112698,34.77,1902,1895,0,68.2539682539683,31.7460317460317
"Bk-SH_06",40.684969,-73.928454,250,16.5448,4.7162,0,0,40.7758,8.9255,29.0377,0,34.6428002093617,32.32,1917,1899,3.19148936170213,72.3404255319149,24.468085106383
"Bk-SH_07",40.685855,-73.928136,250,28.3968,6.0172,0,0,34.2961,4.5628,26.7271,0,32.8008753373684,32.08,1905,1899,3.1578947368421,90.5263157894737,6.31578947368421
"Bk-SH_08",40.68621635,-73.93144348,250,36.9613,1.9602,0,0,35.0328,2.6565,23.3892,0,38.8698440406383,41.765,1910,1899,2.12765957446809,35.1063829787234,62.7659574468085
"Bk-SH_09",40.68531237,-73.93185675,250,28.3606,2.5478,0,0,36.3959,8.2381,24.4576,0,38.6679394012766,41.895,1902,1899,3.19148936170213,34.0425531914894,62.7659574468085
"Bk-SH_10",40.68589837,-73.93423211,250,30.8839,2.2543,0,0,37.5057,5.3758,23.9803,0,41.1915887850467,42.13,1905,1899,0,14.9532710280374,85.0467289719626
"Bk-SH_11",40.6844671,-73.92943689,250,18.1155,0.7957,0,0,36.8199,17.2571,27.0118,0,36.8789534883721,33.56,1908,1899,3.48837209302326,56.9767441860465,39.5348837209302
"Bk-SH_12",40.68447722,-73.92702049,250,17.8772,2.4269,0,0,35.6027,12.1517,31.9415,0,35.974820804421,33.45,1914,1899,3.1578947368421,73.6842105263158,23.1578947368421
"Bk-SH_13",40.68294007,-73.92734946,250,33.4354,3.2537,0,0,36.4938,3.0496,23.7675,0,34.93525,33.525,1901,1899,1.66666666666667,70.8333333333333,27.5
"Bk-SH_14",40.682379,-73.931414,250,32.1793,2.224,0,0,31.0839,10.3156,24.1972,0,37.807197305641,39.91,1893,1892,5.12820512820513,46.1538461538462,48.7179487179487
"Bk-SH_15",40.68448113,-73.93350809,250,33.7793,3.589,0,0,34.2134,4.5295,23.8888,0,37.6555357142857,37.86,1897,1899,2.67857142857143,69.6428571428571,27.6785714285714
"Bk-SH_16",40.68076793,-73.92670638,250,21.0229,3.4284,0,0,33.7783,7.3028,34.4676,0,32.0276363636364,30.3,1929,1901,7.27272727272727,72.7272727272727,20
"Bk-SH_17",40.68455584,-73.9254022,250,23.4651,2.7868,0,0,38.8722,8.7381,26.1378,0,34.2358679427619,33.86739936,1901,1899,0.952380952380952,92.3809523809524,6.66666666666667
"Bk-SH_18",40.685553,-73.926555,250,22.3234,3.073,0,0,35.1953,11.8902,27.5181,0,35.7810298590588,33.67,1908,1899,4.70588235294118,71.7647058823529,23.5294117647059
"Bk-SH_19",40.68366901,-73.93405186,250,30.8993,1.7287,0,0,38.0533,6.579,22.7397,0,37.5757798165138,38.49,1891,1890,0.91743119266055,68.8073394495413,30.2752293577982
"Bk-SH_20",40.6829293,-73.93396821,250,31.6556,2.7484,0,0,38.4769,5.4861,21.633,0,35.9661203146465,35.24,1886,1886,2.02020202020202,62.6262626262626,35.3535353535354
"Bk-SH_21",40.68601245,-73.92576799,250,20.6859,2.9876,0,0,36.6612,7.6082,32.0571,0,34.6015853368,32.72,1914,1899,5.33333333333333,70.6666666666667,24
"Bk-SH_23",40.680683,-73.934096,250,31.3632,5.4171,0,0,34.5195,10.4346,18.2656,0,35.5381481480247,32.86,1898,1897,1.23456790123457,54.320987654321,44.4444444444444
"Bk-SH_24",40.68147733,-73.92885769,250,18.5029,3.3352,0,0,35.0839,16.2544,26.8236,0,36.2303296703297,33.49,1899,1899,2.1978021978022,70.3296703296703,27.4725274725275
"Bk-SH_25",40.681228,-73.92562,250,29.6131,10.2384,0,0,20.8404,17.0405,22.2676,0,36.52963575725,31.945,1924,1901,2.5,65,32.5
"Bk-SH_26",40.68201737,-73.92596005,250,22.3617,6.0762,0,0,28.2169,17.1004,26.2448,0,33.842292890625,32.435,1908,1899,2.5,80,17.5
"Bk-SH_27",40.68239493,-73.92887443,250,21.646,2.6444,0,0,36.2218,14.8221,24.6657,0,35.7558695652174,33.885,1899,1899,3.26086956521739,70.6521739130435,26.0869565217391
"Bk-SH_28",40.68646444,-73.92930223,250,24.4214,1.1481,0,0,38.1716,13.6091,22.6498,0,36.5781798671111,34.475,1913,1901,1.11111111111111,68.8888888888889,30
"Bk-SH_29",40.68580145,-73.93254866,250,34.4618,2.8606,0,0,31.948,9.2454,21.4842,0,40.540727728172,42.17,1906,1899,1.0752688172043,18.2795698924731,80.6451612903226
"Bk-SH_30",40.684987,-73.93239159,250,24.7738,2.8897,0,0,35.3257,11.6509,25.3599,0,37.2173214022989,37.85,1899,1901,5.74712643678161,48.2758620689655,45.9770114942529
"Bk-SH_31",40.68484459,-73.92638153,250,19.3373,2.5156,0,0,35.1771,13.8496,29.1204,0,35.3584973672632,33.72,1912,1899,4.21052631578947,77.8947368421053,17.8947368421053
"Bk-SH_32",40.68372843,-73.92913824,250,17.5634,3.2844,0,0,37.0264,17.0406,25.0852,0,36.5261445783133,33.19,1904,1899,0,67.4698795180723,32.5301204819277
"Bk-SH_33",40.686047,-73.929807,250,22.0921,1.3331,0,0,36.0698,15.5004,25.0046,0,34.8267156791765,33.66,1922,1910,4.70588235294118,62.3529411764706,32.9411764705882
"Bk-SH_35",40.68385526,-73.92589852,250,21.4042,1.3887,0,0,37.3225,11.5884,28.2962,0,33.5350701572826,32.634573155,1902,1899,2.17391304347826,88.0434782608696,9.78260869565217
"Bx-EC_01",40.88189292,-73.8495915,250,20.2815,11.2484,0,0,18.4842,23.6775,26.3084,0,25.3027786967857,27.46738717,1956,1952.5,14.2857142857143,83.9285714285714,1.78571428571429
"Bx-EC_02",40.88159962,-73.84530051,250,17.9285,18.0553,0,0,23.8897,10.4496,29.6769,0,25.5129406190909,24.94193534,1959,1955,7.95454545454545,89.7727272727273,2.27272727272727
"Bx-EC_03",40.87907455,-73.84839168,250,19.856,7.3533,0,0,26.742,16.8278,29.2209,0,29.9969584374667,29.39,1959,1955,8,81.3333333333333,10.6666666666667
"Bx-EC_04",40.88248337,-73.84646533,250,20.8591,10.2355,0,0,19.6676,22.1912,27.0466,0,24.9321995279747,26.81923931,1951,1950,15.1898734177215,84.8101265822785,0
"Bx-EC_05",40.87609289,-73.85199656,250,29.1789,9.0021,0,0,21.87,13.683,26.266,0,29.6234787476744,28.25212771,1950,1945,4.65116279069767,86.046511627907,9.30232558139535
"Bx-EC_06",40.88276402,-73.85275904,250,14.054,11.876,0,0,23.1593,19.4817,31.429,0,26.8738600042667,27.79784681,1952,1955,13.3333333333333,82.6666666666667,4
"Bx-EC_07",40.88404151,-73.84654141,250,46.9535,16.5145,0,0,13.8054,5.4634,17.2632,0,45.29758412,31.42640866,1951,1951,14.2857142857143,85.7142857142857,0
"Bx-EC_08",40.88173405,-73.84752482,250,25.6511,12.845,0,0,18.0995,15.2245,28.1799,0,23.6702149691954,26.23423404,1952,1950,33.3333333333333,64.367816091954,2.29885057471264
"Bx-EC_09",40.87971469,-73.85064977,250,19.6434,7.4923,0,0,25.1103,15.5892,32.1648,0,26.0880816736667,28.09,1942,1950,13.3333333333333,83.3333333333333,3.33333333333333
"Bx-EC_10",40.87988469,-73.84484836,250,26.9426,13.0073,0,0,15.3138,22.0435,22.6928,0,25.2551573769091,26.34,1958,1950,10.9090909090909,85.4545454545455,3.63636363636364
"Bx-EC_11",40.883292,-73.845751,250,38.8866,9.5783,0,0,9.542,20.8908,21.1023,0,32.4568529246667,27.82950423,1952,1950,0,86.6666666666667,13.3333333333333
"Bx-EC_12",40.88327607,-73.84923617,250,18.3339,8.1137,0,0,24.1276,22.1777,27.2471,0,25.8188695668966,27.986901415,1957,1960,13.7931034482759,82.7586206896552,3.44827586206897
"Bx-EC_13",40.88158,-73.851503,250,13.5615,16.8394,0,0,14.3172,21.6174,33.6645,0,25.5521844005357,26.69483727,1952,1955,10.7142857142857,89.2857142857143,0
"Bx-EC_14",40.882796,-73.845596,250,37.3961,10.6905,0,0,13.3638,20.457,18.0926,0,25.9870804645238,25.85510316,1953,1950,11.9047619047619,80.952380952381,7.14285714285714
"Bx-EC_16",40.88348634,-73.84726945,250,42.3668,9.3262,0,0,17.1024,9.6321,21.5725,0,25.5477099754902,27.47733276,1956,1950,9.80392156862745,84.3137254901961,5.88235294117647
"Bx-EC_17",40.87934108,-73.84974607,250,25.3325,6.1969,0,0,24.0848,14.9911,29.3947,0,26.6242207515663,27.79,1944,1950,12.0481927710843,83.1325301204819,4.81927710843374
"Bx-EC_18",40.878242,-73.850362,250,19.7599,6.2361,0,0,27.8598,15.8817,30.2625,0,36.0507188538,34.425,1934,1935,4,46,50
"Bx-EC_19",40.87865136,-73.84517319,250,20.865,7.5186,0,0,25.2033,15.7897,30.6234,0,23.9054853216901,25.82,1945,1950,32.3943661971831,61.9718309859155,5.63380281690141
"Bx-EC_20",40.877528,-73.852409,250,17.4263,12.6114,0,0,24.2353,18.3496,27.3774,0,28.0048967883951,27.38952528,1945,1945,3.7037037037037,86.4197530864197,9.87654320987654
"Bx-EC_21",40.884616,-73.849168,250,20.8854,11.6428,0,0,17.7714,25.9158,23.7846,0,26.2368214603226,29.47,1957,1955,19.3548387096774,77.4193548387097,3.2258064516129
"Bx-EC_22",40.88057511,-73.84841524,250,12.8124,12.4681,0,0,19.4297,29.0505,26.2393,0,26.9293828842105,28.04798725,1946,1950,5.26315789473684,89.4736842105263,5.26315789473684
"Bx-EC_23",40.87829121,-73.85185006,250,13.8187,8.2806,0,0,26.9463,17.8791,33.0753,0,28.5762288196053,28.060945175,1942,1945,5.26315789473684,88.1578947368421,6.57894736842105
"Bx-EC_25",40.87557124,-73.84761847,250,14.1364,5.5646,0,0,34.2463,12.7508,33.3019,0,25.6124479267708,28.93,1946,1940,16.6666666666667,79.1666666666667,4.16666666666667
"Bx-EC_26",40.87839524,-73.85305394,250,13.4534,7.9394,0,0,22.1287,23.7767,32.7018,0,26.3884333145455,27.24,1948,1955,3.8961038961039,90.9090909090909,5.1948051948052
"Bx-EC_27",40.88245586,-73.85033266,250,18.2491,16.3232,0,0,18.0748,25.1514,22.2015,0,26.0765862727273,27.50322103,1954,1955,14.5454545454545,85.4545454545455,0
"Bx-EC_28",40.877732,-73.846874,250,15.4277,8.9582,0,0,30.8915,18.6244,26.0982,0,35.06146153,32.22,1953,1945,26.0869565217391,34.7826086956522,39.1304347826087
"Bx-EC_29",40.87997771,-73.85199541,250,13.8498,11.0669,0,0,22.5343,24.2172,28.3318,0,27.6069342139286,28.276148175,1951,1955,1.19047619047619,97.6190476190476,1.19047619047619
"Bx-EC_30",40.8760246,-73.84470294,250,14.6902,10.8137,0,0,24.4459,13.5512,36.499,0,24.6953000327174,25.940234575,1940,1940,13.0434782608696,82.6086956521739,4.34782608695652
"Bx-EC_31",40.876219,-73.845795,250,11.5397,4.1313,0,0,22.5784,20.4154,41.3352,0,26.1346228701724,28.87,1948,1950,13.7931034482759,84.4827586206897,1.72413793103448
"Bx-EC_32",40.87668,-73.850381,250,27.1497,12.3141,0,0,32.7175,10.4668,17.3519,0,45.14,46,1935,1935,2.4390243902439,4.8780487804878,92.6829268292683
"Bx-EC_33",40.876405,-73.847207,250,7.7925,3.4784,0,0,35.3492,24.7882,28.5917,0,29.0047710902174,30.265,1952,1950,15.2173913043478,78.2608695652174,6.52173913043478
"Bx-EC_34",40.88245943,-73.84932486,250,27.1456,10.5204,0,0,18.2205,18.8926,25.2209,0,25.2023407536207,27.46738717,1947,1955,10.3448275862069,86.2068965517241,3.44827586206897
"Bx-EC_36",40.87589255,-73.8489556,250,10.5935,2.2005,0,0,35.1388,25.2024,26.8648,0,27.4585294254545,28.247285505,1938,1935,11.3636363636364,79.5454545454545,9.09090909090909
"Bx-HP_01",40.814838,-73.884918,250,7.6122,4.3349,0,0,22.2305,27.9144,37.908,0,23.1321428571429,18.725,1950,1949,50,42.8571428571429,7.14285714285714
"Bx-HP_02",40.816578,-73.886142,250,13.6854,5.7181,0,0,31.2129,17.4562,31.9274,0,51.5088888888889,59.16,1935,1926.5,16.6666666666667,27.7777777777778,55.5555555555556
"Bx-HP_03",40.810314,-73.884746,250,3.2083,1.7908,0,0,32.9957,27.2475,34.7577,0,21.00222824,21.284112985,1947,1949,40.9090909090909,59.0909090909091,0
"Bx-HP_04",40.814029,-73.886453,250,14.5624,1.7601,0,0,25.866,22.9427,34.8688,0,32.019,28.295,1928,1923,7.5,75,17.5
"Bx-HP_05",40.810156,-73.885856,250,4.6453,1.5577,0,0,41.189,26.0177,26.5903,0,20.8806666666667,20.27,1951,1955,46.6666666666667,53.3333333333333,0
"Bx-HP_06",40.812707,-73.885938,250,10.1759,4.3926,0,0,31.525,20.4578,33.4487,0,25.59146821,26.01,1937,1930,18.8679245283019,69.811320754717,11.3207547169811
"Bx-HP_07",40.810716,-73.889251,250,2.029,0.2874,0,0,67.125,11.7654,18.7932,0,19.2145342958621,18.76,1941,1931,58.6206896551724,41.3793103448276,0
"Bx-HP_08",40.812988,-73.888895,250,15.0183,4.1536,0,0,50.2222,7.4095,23.1964,0,30.4814745368421,26.82,1947,1930,7.01754385964912,68.421052631579,24.5614035087719
"Bx-HP_09",40.811017,-73.888374,250,2.3362,0.7599,0,0,69.7637,12.0705,15.0697,0,20.4112204288235,20.345,1946,1935,47.0588235294118,52.9411764705882,0
"Bx-HP_10",40.81424,-73.88569,250,10.5176,1.7039,0,0,11.7811,34.011,41.9864,0,31.6247619047619,28.1,1935,1930,19.047619047619,61.9047619047619,19.047619047619
"Bx-HP_11",40.813931,-73.88961,250,10.6615,1.6676,0,0,35.5592,14.8531,37.2586,0,34.4975859865,29.50830105,1960,1930.5,30,45,25
"Bx-HP_12",40.813937,-73.889688,250,10.1308,1.5533,0,0,34.7424,14.8189,38.7546,0,34.908830105,29.50830105,1960,1930.5,30,45,25
"Bx-HP_13",40.81254837,-73.88295044,250,4.6377,0.9147,0,0,30.7828,32.7353,30.9295,0,19.8761971272727,18.04,1954,1953,72.7272727272727,27.2727272727273,0
"Bx-HP_14",40.816767,-73.88285,250,8.7247,9.9798,0,0,26.6859,27.9406,24.4091,2.2599,19.539375,17.5,1938,1931,56.25,43.75,0
"Bx-HP_15",40.810679,-73.888433,250,2.3625,0.3691,0,0,62.9505,12.891,21.4269,0,21.0971449864516,21.84,1946,1935,45.1612903225806,54.8387096774194,0
"Bx-HP_16",40.81034487,-73.88595834,250,4.4194,1.4554,0,0,51.8057,25.9414,16.3781,0,20.665,20.015,1951,1953.5,50,50,0
"Bx-HP_17",40.812666,-73.886864,250,10.4006,5.6431,0,0,31.8926,17.593,34.4707,0,28.46595238,28.04,1951,1930,8.19672131147541,85.2459016393443,6.55737704918033
"Bx-HP_18",40.810906,-73.887522,250,0.9931,0.892,0,0,67.9782,11.2518,18.8849,0,22.1856755848,20.52,1948,1954,48,52,0
"Bx-HP_19",40.814843,-73.886509,250,14.0423,2.235,0,0,28.5016,28.5996,26.6215,0,38.3503448275862,28.36,1920,1923,13.7931034482759,48.2758620689655,37.9310344827586
"Bx-HP_20",40.815803,-73.884805,250,7.2978,2.4478,0,0,41.3406,10.1338,38.78,0,25.26875,18.58,1952,1949,43.75,37.5,18.75
"Bx-HP_21",40.814651,-73.883737,250,1.3224,1.2421,0,0,39.9665,24.8197,32.6493,0,19.4688888888889,18.77,1958,1952,55.5555555555556,44.4444444444444,0
"Bx-HP_22",40.810771,-73.885588,250,4.1431,1.322,0,0,45.0655,23.905,25.5644,0,21.2780886552,20.27,1957,1950,48,52,0
"Bx-HP_23",40.813472,-73.884888,250,7.3953,2.2859,0,0,23.2794,25.0611,41.9783,0,21.8665041437838,22.6,1941,1931,32.4324324324324,59.4594594594595,8.10810810810811
"Bx-HP_24",40.81409,-73.882629,250,4.3409,1.1029,0,0,43.0128,12.5508,38.9926,0,18.7020265575,18.235,1952,1951.5,58.3333333333333,33.3333333333333,8.33333333333333
